WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;917.42
Datum;E[Wh]
01/08/2014;29382
02/08/2014;26953
03/08/2014;31258
04/08/2014;41306
05/08/2014;32553
06/08/2014;46708
07/08/2014;38357
08/08/2014;41354
09/08/2014;24411
10/08/2014;32148
11/08/2014;11146
12/08/2014;41965
13/08/2014;7555
14/08/2014;26818
15/08/2014;22636
16/08/2014;22681
17/08/2014;49081
18/08/2014;36993
19/08/2014;31677
20/08/2014;27095
21/08/2014;38485
22/08/2014;42191
23/08/2014;20564
24/08/2014;38916
25/08/2014;29955
26/08/2014;8845
27/08/2014;17833
28/08/2014;33885
29/08/2014;21094
30/08/2014;32711
31/08/2014;10873
