WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;9.99
Uhrzeit;Udc1[V];Idc1[A];Pdc1[W];Udc2[V];Idc2[A];Pdc2[W];Uac1[V];Iac1[A];Uac2[V];Iac2[A];Uac3[V];Iac3[A];Pdc[W];Pac[W];Tsys[°C]
07:09:57;503.4;0.01;7;429.2;0.00;0;223.2;0.00;223.9;0.00;224.8;0.00;7;0;27.2
07:15:01;499.9;0.01;7;421.4;0.00;0;223.4;0.00;223.9;0.00;224.9;0.00;7;0;28.2
07:20:05;496.7;0.01;9;417.2;0.00;0;225.8;0.00;226.6;0.00;227.3;0.00;9;0;28.7
07:25:09;504.9;0.01;7;436.2;0.00;0;226.1;0.00;227.0;0.00;227.7;0.00;7;0;29.0
07:30:13;458.5;0.12;57;438.3;0.00;0;225.8;0.53;226.9;0.53;227.5;0.53;57;47;29.5
07:35:17;392.1;0.28;111;419.1;0.00;0;225.7;0.16;227.0;0.16;227.6;0.16;113;111;30.3
07:40:21;389.9;0.32;127;419.1;0.02;10;225.8;0.79;226.9;0.79;227.4;0.80;137;135;30.9
07:45:25;389.9;0.37;145;419.2;0.04;17;225.8;0.23;226.8;0.23;227.4;0.23;164;161;31.5
07:50:29;389.9;0.41;161;419.2;0.06;28;225.4;0.81;226.3;0.81;227.0;0.83;190;187;32.0
07:55:33;389.9;0.46;182;419.2;0.08;34;225.7;0.31;226.6;0.31;227.2;0.31;217;215;32.4
08:00:37;389.9;0.54;210;419.2;0.12;52;225.4;0.85;226.3;0.85;227.0;0.86;263;257;32.8
08:05:41;389.9;0.61;239;419.2;0.16;67;225.0;0.88;225.9;0.88;226.6;0.89;307;302;33.2
08:10:45;389.9;0.71;278;419.2;0.19;81;225.1;0.52;225.6;0.52;226.7;0.51;361;354;33.5
08:15:49;389.9;0.80;315;419.2;0.25;108;225.0;0.98;225.4;0.97;226.4;0.97;424;413;33.8
08:20:53;389.9;0.90;351;419.2;0.30;127;224.7;1.03;225.2;1.02;225.9;1.02;479;468;34.0
08:25:57;389.9;0.98;383;419.2;0.34;145;225.7;1.09;226.1;1.08;226.8;1.08;529;521;34.3
