;timestamp;Ladezustand;Batterie (Laden);Batterie (Entladen);Netzeinspeisung;Netzbezug;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion Tracker 3;Solarproduktion;Hausverbrauch
;2023-04-01 00:00;82;0;5;0;16;0;0;0;0;19
;2023-04-01 00:15;82;0;0;0;16;0;0;0;0;16
;2023-04-01 00:30;82;0;12;3;18;0;0;0;0;22
;2023-04-01 00:45;82;0;3;0;24;0;0;0;0;25
;2023-04-01 01:00;81;0;13;3;19;0;0;0;0;24
;2023-04-01 01:15;81;0;10;1;26;0;0;0;0;30
;2023-04-01 01:30;81;0;64;2;5;0;0;0;0;45
;2023-04-01 01:45;80;0;45;2;11;0;0;0;0;35
;2023-04-01 02:00;80;0;19;1;21;0;0;0;0;30
;2023-04-01 02:15;79;0;39;4;12;0;0;0;0;32
;2023-04-01 02:30;79;0;44;1;7;0;0;0;0;31
;2023-04-01 02:45;79;0;0;0;16;0;0;0;0;16
;2023-04-01 03:00;79;0;0;0;16;0;0;0;0;16
;2023-04-01 03:15;79;0;14;5;24;0;0;0;0;28
;2023-04-01 03:30;79;0;5;2;17;0;0;0;0;19
;2023-04-01 03:45;79;0;0;0;16;0;0;0;0;16
;2023-04-01 04:00;79;0;7;2;19;0;0;0;0;22
;2023-04-01 04:15;77;0;8;2;24;0;0;0;0;26
;2023-04-01 04:30;77;0;0;0;19;0;0;0;0;19
;2023-04-01 04:45;77;0;10;2;25;0;0;0;0;28
;2023-04-01 05:00;76;0;65;3;5;0;0;0;0;44
;2023-04-01 05:15;76;0;46;3;12;0;0;0;0;36
;2023-04-01 05:30;76;0;34;3;17;0;0;0;0;32
;2023-04-01 05:45;75;0;16;1;20;0;0;0;0;28
;2023-04-01 06:00;75;0;0;0;22;0;0;0;0;22
;2023-04-01 06:15;75;0;0;0;18;0;0;0;0;18
;2023-04-01 06:30;75;0;0;0;16;0;0;0;0;16
;2023-04-01 06:45;75;0;0;0;16;0;0;0;0;16
;2023-04-01 07:00;75;0;0;0;16;0;0;0;0;16
;2023-04-01 07:15;75;0;8;2;29;0;0;0;0;32
;2023-04-01 07:30;74;0;149;5;92;2;3;0;4;222
;2023-04-01 07:45;73;1;43;6;12;18;16;0;34;55
;2023-04-01 08:00;73;2;6;2;2;36;32;0;69;36
;2023-04-01 08:15;73;2;2;2;2;46;40;0;86;39
;2023-04-01 08:30;73;30;0;1;1;59;52;0;110;31
;2023-04-01 08:45;74;55;0;1;1;72;67;0;139;34
;2023-04-01 09:00;75;134;0;0;0;118;110;0;229;46
;2023-04-01 09:15;77;215;0;0;0;153;142;0;295;31
;2023-04-01 09:30;81;274;0;0;0;184;168;0;352;26
;2023-04-01 09:45;83;237;0;1;1;166;154;0;319;31
;2023-04-01 10:00;85;177;0;0;0;129;119;0;247;22
;2023-04-01 10:15;87;206;0;0;0;140;132;0;272;18
;2023-04-01 10:30;90;241;0;1;1;162;153;0;315;23
;2023-04-01 10:45;92;153;0;0;0;117;110;0;227;26
;2023-04-01 11:00;93;169;0;0;0;120;113;0;233;17
;2023-04-01 11:15;94;109;0;0;0;88;82;0;170;17
;2023-04-01 11:30;95;82;0;1;1;81;74;0;156;30
;2023-04-01 11:45;95;42;50;10;10;66;60;0;126;91
;2023-04-01 12:00;92;0;326;22;22;77;70;0;147;432
;2023-04-01 12:15;92;74;29;1;1;102;94;0;196;108
;2023-04-01 12:30;93;116;59;11;15;129;120;0;250;150
;2023-04-01 12:45;91;10;216;1;1;105;96;0;201;369
;2023-04-01 13:00;87;37;267;2;2;120;111;0;231;421
;2023-04-01 13:15;86;70;172;2;2;110;101;0;211;270
;2023-04-01 13:30;86;118;99;2;2;118;108;0;227;162
;2023-04-01 13:45;90;246;0;1;0;172;159;0;330;37
;2023-04-01 14:00;94;427;0;3;4;283;262;0;545;64
;2023-04-01 14:15;96;316;0;6;6;221;206;0;427;60
;2023-04-01 14:30;99;415;0;9;0;263;245;0;507;29
;2023-04-01 14:45;100;87;0;309;0;246;230;0;476;33
;2023-04-01 15:00;100;0;0;275;0;179;167;0;346;33
;2023-04-01 15:15;100;0;0;364;0;225;207;0;432;28
;2023-04-01 15:30;100;0;0;281;0;184;170;0;354;35
;2023-04-01 15:45;100;0;17;199;4;163;151;0;313;98
;2023-04-01 16:00;100;0;0;192;0;136;125;0;261;34
;2023-04-01 16:15;100;0;0;125;0;101;91;0;192;33
;2023-04-01 16:30;100;0;0;106;0;92;83;0;175;36
;2023-04-01 16:45;100;0;0;163;0;120;110;0;229;32
;2023-04-01 17:00;100;0;0;111;0;89;80;0;170;26
;2023-04-01 17:15;94;0;499;29;18;53;45;0;97;542
;2023-04-01 17:30;91;4;290;20;29;57;51;0;108;364
;2023-04-01 17:45;92;93;58;5;5;101;92;0;193;114
;2023-04-01 18:00;93;92;0;0;0;82;73;0;155;19
;2023-04-01 18:15;93;65;13;2;7;72;64;0;136;44
;2023-04-01 18:30;93;24;0;0;0;52;45;0;98;24
;2023-04-01 18:45;93;18;0;1;1;46;42;0;88;19
;2023-04-01 19:00;93;0;4;3;3;37;32;0;69;43
;2023-04-01 19:15;93;1;54;2;6;28;26;0;54;76
;2023-04-01 19:30;92;0;105;2;20;15;13;0;28;115
;2023-04-01 19:45;91;0;70;0;0;6;5;0;11;46
;2023-04-01 20:00;90;0;77;1;1;1;0;0;1;52
;2023-04-01 20:15;88;0;83;2;2;0;0;0;0;59
;2023-04-01 20:30;88;0;61;1;1;0;0;0;0;39
;2023-04-01 20:45;87;0;61;1;3;0;0;0;0;39
;2023-04-01 21:00;86;0;74;0;0;0;0;0;0;50
;2023-04-01 21:15;86;0;62;1;2;0;0;0;0;40
;2023-04-01 21:30;85;0;60;1;2;0;0;0;0;37
;2023-04-01 21:45;84;0;73;2;2;0;0;0;0;51
;2023-04-01 22:00;84;0;83;0;0;0;0;0;0;58
;2023-04-01 22:15;83;0;79;0;0;0;0;0;0;53
;2023-04-01 22:30;82;0;82;1;1;0;0;0;0;58
;2023-04-01 22:45;81;0;103;0;0;0;0;0;0;78
;2023-04-01 23:00;80;0;78;0;0;0;0;0;0;55
;2023-04-01 23:15;79;0;78;1;1;0;0;0;0;54
;2023-04-01 23:30;77;0;85;0;0;0;0;0;0;59
